code_stock_12,code_stock_5,company_name_English,code_company_4,company_name,stock_name,stock_persian_30,code_company_12,market,code_tablo,code_sector,name_sector,code_subsector,name_subsector,stock_code_TSETMC,stock_name_2,trade_purpose,CEO,address,phone_number,FAX,offic_address,shareholder_affairs_address,website,email,auditor,capital,year,financial_manager,shenaseh_meli
IRO1FSBZ0001,FSBZ1,Sabzevar Steel,FSBZ,پارس فولاد سبزوار,فسبزوار,پارس فولاد سبزوار,IRO1FSBZ0001,بازار دوم بورس,5,27,فلزات اساسي,2710,توليد آهن و فولاد پايه,37284308569715577,فسبزوار,تولید آهن اسفنجی,مجتبي شعباني,خراسان رضوی- شهرستان سبزوار- کیلومتر 50 جاده سبروار به اسفراین,02126743495,02126743487,سعادت آباد - خیابان علامه شمالی - کوچه شهد جهانگیر انقطاع ( بیستم غربی) - پلاک 43 - طبقه اول,سعادت آباد - خیابان علامه شمالی - کوچه شهد جهانگیر انقطاع ( بیستم غربی) - پلاک 43 - طبقه اول,www.spscomplex.ir,info@spscomplex.ir,موسسه حسابرسی رایمند و همکاران,4000000,09/30,ابوذر زحمتکش,14005024571
IRO1FOLD0001,FOLD1,S*Mobarakeh Steel,FOLD,فولاد مباركه اصفهان,فولاد,فولاد مباركه اصفهان,IRO1FOLD0009,بازار اول (تابلوي اصلي) بورس,1,27,فلزات اساسي,2710,توليد آهن و فولاد پايه,46348559193224090,فولاد,1) بهره برداری از کارخانه فولادسازی مجتمع فولاد مبارکه واقع در 74 کیلومتری شهر اصفهان 2) انجام هرگونه فعالیت تولیدی معاملاتی و بازرگانی اعم از داخلی و خارجی که بطور مستقیم یا غیرمستقیم با موضوع شرکت مرتبط باشد 3) اکتشاف،استخراج و بهره برداری از معادن فلزی و غیر فلزی مورد نیاز صنعت فولاد از جمله استخراج و فرآوری سنگ آهن ، دولومیت و تولید سنگ آهن دانه بندی،کنسانتره و گندله از آن,حميدرضا عظيميان,اصفهان کیلومتر 75 جنوب غربی کدپستی 8488111131,03152733838,03152733922,اصفهان،میدان آزادی، ابتدای خیابان سعادت آباد، شرکت فولاد مبارکه اصفهان، کدپستی 8168645497,اصفهان،میدان آزادی، ابتدای خیابان سعادت آباد، شرکت فولاد مبارکه اصفهان، دفتر امور سهام و مجامع کدپستی 8168645497,WWW.MSC.IR,saham@msc.ir,سازمان حسابرسی,293000000,12/29,حامدحسین ولی بیک,10260289464
IRO3KRMZ0001,KRMZ1,Kerman Invest,KRMZ,س. توسعه وعمران استان كرمان,كرمان,س. توسعه و عمران استان كرمان,IRO3KRMZ0000,بازار اول فرابورس,1,70,انبوه سازي، املاك و مستغلات,7010,املاك و مستغلات با ملك خود يا ليزينگ شده,50792786683910016,كرمان,موضوع فعالیت سرمایه گذاری درسهام ،سهم الشرکه سرمایه گذاری صندق ها یاسایر اوراق بهادار مشروط به فعالیت شرکتهای سرمایه پذیر در زمینه های زیر: صنعت آب وبرق. صنعت ساختمان. صنعت کانی های غیر فلزی. صنعت فلزات اساسی,علي مهرپورلايقي,دفتر کرمان به آدرس خیابان حافظ ،کوچه شماره 11 ساختمان حافظ تلفن 3-32732172-034 دورنگار 32732171-034 امورمالی کرمان 32737301-034,22093330,22084593,دفترتهران به آدرس سعادت آباد خیابان سروغربی پلاک 23 (ساختمان طلائی) طبقه پنجم واحد (13 ) تلفن 22093330 دورنگار 22084593,دفتر کرمان به آدرس خیابان حافظ ،کوچه شماره 11 ساختمان حافظ تلفن 3-32732172-034 دورنگار 32732171-034 خانم طاهره شکرف نخعی,www.kdico.com,info@kdico.com,موسسه حسابرسی و خدمات مالی ارقام نگر آریا,42620178,03/31,روح اله رضایی,10860555136
IRO1PTEH0001,PTEH1,Palayesh Tehran,PTEH,پالايش نفت تهران,شتران,پالايش نفت تهران,IRO1PTEH0007,بازار دوم بورس,5,23,فراورده هاي نفتي، كك و سوخت هسته اي,2320,توليد محصولات پالايش شده پتروشيمي,51617145873056483,شتران,1-خرید نفت خام از شرکت ملی نفت ایران 2-عملیات پالایش وفرآورش نفت خام وسایرهیدروکربورها،ساختن فرآورده های نفتی ازقبیل بنزین،نفت سفید،گازوئیل،... 3-فروش کلیه محصولات پالایشگاه به هر نوع مصرف کننده یا خریدار,حامد آرمان فر,شهرری جاده قدیم قم نرسیده به باقرشهر بلوار شهید تندگویان شرکت پالایش نفت تهران,02155901021-45,02155238160,شهرری جاده قدیم قم نرسیده به باقرشهر بلوار شهید تندگویان شرکت پالایش نفت تهران,شهرری جاده قدیم قم نرسیده به باقرشهر بلوار شهید تندگویان شرکت پالایش نفت تهران,www.tehranrefinery.ir,info@torc.ir,موسسه حسابرسی و خدمات مدیریت آزموده کاران,75000000,12/29,فریدون ورشوساز,10101874640
IRO7BDZP0001,BDZP1,Bonyan Diesel,BDZP,بنيان ديزل,خبنيان - لغو پذیرش شده,بنيان ديزل,IRO7BDZP0000,بازار پايه زرد فرابورس,7,34,خودرو و ساخت قطعات,3430,قطعات يدكي و جانبي وسايل نقليه موتوري,37089148943784077,خبنيان,تولید انواع قطعات خودرو,سياوش رسولي,تبریز - بلوار ملت (دیزل آباد )/منطقه صنعتی غرب,0413448213,04134480100,تبریز - بلوار ملت (دیزل آباد )/منطقه صنعتی غرب,تبریز - بلوار ملت (دیزل آباد )/منطقه صنعتی غرب,www.bonyandieselco.com,info@bonyandieseco.com,موسسه حسابرسی ارکان سیستم,55000,12/29,مهری تقی زاد,10200054270
IRO1MSMI0001,MSMI1,S*I. N. C. Ind.,MSMI,ملي‌ صنايع‌ مس‌ ايران‌‌,فملي,ملي‌ صنايع‌ مس‌ ايران‌,IRO1MSMI0000,بازار اول (تابلوي اصلي) بورس,1,27,فلزات اساسي,2720,توليد فلزات گرانبهاي غيرآهن,35425587644337450,فملي,اکتشافات، استخراج و بهره برداری از معادن مس ایران,اردشير سعدمحمدي,مجتمع مس سرچشمه و مجتمع مس میدوک در استان کرمان و مجتمع مس سونگون در تبریز شهرستان ورزقان واقع شده اند.,021-88724410,021-88729014,تهران خیابان ولیعصر نرسیده به پارک ساعی پلاک 2161,تهران خیابان خالد اسلامبولی (وزراء) خیابان 11 پلاک 22 طبقه اول,www.nicico.com,office@nicico.com,حسابرسی وخدمات مالی ومدیریت ایران مشهود,200000000,12/29,کیارش مهرانی,10100582059
IRO1BMLT0001,BMLT1,S*Mellat Bank,BMLT,بانك ملت,وبملت,بانك ملت,IRO1BMLT0007,بازار اول (تابلوي اصلي) بورس,1,57,بانكها و موسسات اعتباري,5719,ساير واسطه هاي پولي,778253364357513,وبملت,1-افتتاح و نگهداری حساب سپرده قرض الحسنه جاری، پس انداز و حسابهای سپرده سرمایه گذاری کوتاه مدت و بلند مدت و سایر حسابهای مشابه و صدور انواع کارت/ کارتهای مجاز و صدور انواع گواهی سپرده. 2-اعطای انواع تسهیلات مالی و اعتباری به اشخاص حقیقی و حقوقی در قالب قوانین جاری کشور,محمد بيگدلي,,00982182961,66970053,تهران، خیابان آیت ا... طالقانی، نبش خیابان فرصت، شماره 276,تهران - خیابان ولیعصر، بالاتر از تقاطع انقلاب -ادره کل امور مالی - اداره امور سهام کد پستی: 1591614311,www.bankmellat.ir,info@bankmellat.ir,سازمان حسابرسی,207042862,12/29,مجتبی کحالی,10100834967
IRO3ISMZ0001,ISMZ1,Inv. Srv. of CSPF,ISMZ,س. و خدمات مديريت صند. ب كشوري,مديريت,س. و خدمات مديريت صند. ب كشوري,IRO3ISMZ0003,بازار اول فرابورس,1,56,سرمايه گذاريها,5699,ساير واسطه هاي مالي,12490072956930435,مديريت,1- سرمایه گذاری در سهام، سهم الشرکه، واحدهای سرمایه گذاری صندوق‌ها یا سایر اوراق بهادار دارای حق رای شرکت‌ها، موسسات یا صندوق‌های سرمایه‌گذاری با هدف کسب انتفاع 2- سرمایه گذاری در سایر اوراق بهادار 3-ارائه خدمات مرتبط با بازار اوراق بهادار,مهدي عظيمي,,02188716775,02188716470,تهران- خیابان شهید بهشتی - خیابان احمد قصیر - خیابان هفتم - پلاک 13 - طبقه 6 - تلفن امور سهام 88710462,تهران- خیابان شهید بهشتی - خیابان احمد قصیر - خیابان هفتم - پلاک 13 - طبقه 6,www.icpf.ir,www.km.cspf@gmail.com,موسسه حسابرسی هوشیار ممیز,1500000000000,09/30,احمدنوعی,10103584004
IRR1BRKT0101,BRKX1,G.Barekat Pharm-R,BRKT,گروه دارويي بركت,بركتح,ح . گروه دارويي بركت,IRR1BRKT0105,بازار اول (تابلوي فرعي) بورس,3,43,مواد و محصولات دارويي,4399,توليد ساير محصولات دارويي,8981227815720204,بركتح,,,,,,,,,,,,,,
IRO1BTEJ0001,BTEJ1,S*Tejarat Bank,BTEJ,بانك تجارت,وتجارت,بانك تجارت,IRO1BTEJ0001,بازار اول (تابلوي فرعي) بورس,3,57,بانكها و موسسات اعتباري,5719,ساير واسطه هاي پولي,63917421733088077,وتجارت,1ـافتتاح و نگهداری انواع سپرده های قرض الحسنه جاری ، پس انداز و سپرده های کوتاه مدت و بلندمدت و سایر حساب های مشابه و صدور گواهی سپرده عام و خاص 2- انجام عملیات اعتباری مصرح در قانون عملیات بانکی بدون ربا 3- ارائه انواع خدمات بانکی,رضا دولت آبادي,,021-81041,021-88822950,خ طالقانی -نبش استاد نجات الهی-شماره 247,خ طالقانی - نرسیده به حافظ- شماره 402 -مدیریت امور مالی بانک تجارت - طبقه اول,www.tejarat.ir,info@tejaratbank.ir,سازمان حسابرسی,223926127,12/29,محمود صفرزاده,10100834460
IRO1KTEK0001,KTEK1,Arian Chimia Tech,KTEK,آريان كيميا تك,كيمياتك,آريان كيميا تك,IRO1KTEK0007,-,5,44,محصولات شيميايي,4424,توليد شوينده ها، عطر و محصولات آرايشي,39884565732277052,كيمياتك,"موضوع فعالیت اصلی شرکت بر اساس اساسنامه، تولید، توزیع، خرید، فروش، واردات و صادرات مواد و کلیه محصولات و فرآورده‌های دارویی، آرایشی، بهداشتی، شیمیایی، مکمل‌های غذایی و تجهیزات وابسته، اجرای طرح‌های تحقیقاتی پژوهشی توسعه به طور مستقیم و یا از طریق اشخاص ثالث در ارتباط با کلیه ترکیبات دارویی شیمیایی ، بیولوژیکی، بیوتکنولوژی، گیاهی، مکمل‌های غذایی، آرایشی، بهداشتی، داروهای انسانی و دامی, ...",ناصر گورابي,,88209819,88209817,تهران خیایان نلسون ماندلا کوچه شهید سلطانی پلاک 68,تهران خیایان نلسون ماندلا کوچه شهید سلطانی پلاک 68,,,موسسه حسابرسی هوشیار ممیز,1500000,12/29,رامین جعفری علمداری,10102335460
IRO1DMVN0001,DMVN1,Damavand Min.,DMVN,معدني‌ دماوند,كدما,معدني‌ دماوند,IRO1DMVN0009,بازار دوم بورس,5,13,استخراج كانه هاي فلزي,1320,استخراج كانه فلزي غيرآهن,3623921205367364,كدما,استخراج و فرآوری مواد معدنی,عليرضا عارف نيا,مازندران-جاده هراز -جاده لاریجان -روستای گزنه,88500267,88737172,تهران خیابان شهید بهشتی خیابان پاکستان -کوی دوم پلاک 1,تهران خیابان شهید بهشتی خیابان پاکستان -کوی دوم پلاک 1,damavandmining.com,damavandmining@yahoo.com,موسسه حسابرسی مفید راهبر,250000,12/29,غلامرضا خندان,10100924838
IRO3APOZ0001,APOZ1,Arya Sasol Polymer,APOZ,پليمر آريا ساسول,آريا,پليمر آريا ساسول,IRO3APOZ0002,بازار دوم فرابورس,3,44,محصولات شيميايي,4411,توليد مواد شيميايي پايه به جز كود,55127657985997520,آريا,موضوع شرکت مشخصاً عبارت است از طراحی، توسعه، تأمین سرمایه، ساخت، تملک و بهره‌ برداری و نگهداری واحدهای تولید محصولات شیمیایی و پتروشیمیایی در منطقه ویژه اقتصادی انرژی پارس واقع در بندر عسلویه و بازاریابی، فروش و پخش این محصولات در بازارهای داخلی و بین‌المللی با رعایت قوانین و مقررات مربوطه است.,امير حسين بحريني,عسلویه، منطقه ویژه اقتصادی انرژی پارس,021-85920000,021-88645193,-,عسلویه، منطقه ویژه اقتصادی انرژی پارس,www.aryasasol.com,Investors-relations@aryasasol.com,موسسه حسابرسی تدوین و همکاران,9167680,12/29,حامد جمالی,10320053498
IRO1ZARM0001,ZARM1,Zar Makaron,ZARM,صنعتي زر ماكارون,غزر,صنعتي زر ماكارون,IRO1ZARM0004,بازار دوم بورس,5,42,محصولات غذايي و آشاميدني به جز قند و شكر,4249,توليد ساير محصولات غذايي,4369934250728330,غزر,تولید محصولات غذایی از جمله ماکارونی,محسن اميني,کرج ساوجبلاغ چهارباغ خ صنعت 5,02644385407,02644385407,تهران - شیخ بهایی نبش دانش دوست ساختمان گروه زر,تهران - شیخ بهایی نبش دانش دوست ساختمان گروه زر,zarmacaron.com,r-mashhadizadeh@zarmacaron.com,موسسه حسابرسی شاخص اندیشان,8000000,12/29,رضا مشهدی زاده,10100047773
IRO1BSDR0001,BSDR1,Saderat Bank,BSDR,بانك صادرات ايران,وبصادر,بانك صادرات ايران,IRO1BSDR0003,بازار دوم بورس,5,57,بانكها و موسسات اعتباري,5719,ساير واسطه هاي پولي,28320293733348826,وبصادر,کلیه فعالیت های مندرج در اساسنامه بانک,حجت اله صيدي,خیابان سمیه - برج سپهر شماره 85,02184761,02184761,خیابان سمیه - برج سپهر شماره 85,خیابان سمیه - برج سپهر شماره 85,www.bsi.ir,infi@bsi.ir,سازمان حسابرسی,175353972,12/29,احمد فاضلی,10861736062
IRO1IKHR0001,IKHR1,S*Kharazmy Invest,IKHR,سرمايه گذاري خوارزمي,وخارزم,سرمايه گذاري خوارزمي,IRO1IKHR0000,بازار اول (تابلوي اصلي) بورس,1,56,سرمايه گذاريها,5699,ساير واسطه هاي مالي,7395271748414592,وخارزم,شرکت سرمایه‌گذاری خوارزمی درسال 1376 با سرمایه 1.250 میلیارد ریال به صورت سهامی خاص به ثبت رسید و در سال 1384 با هدف توسعه فعالیت‌ها، گسترش مشارکت در انواع طرح‌های سرمایه‌گذاری و ورود به عرصه صنعت سرمایه‌گذاری کشور، به سهامی عام تغییر یافت.,سيدرضا موسوي,-,02188569283,02188569279,تهران - سعادت آباد - بلوار فرهنگ - بعد از تقاطع نیایش - پلاک 18,تهران - سعادت آباد - بلوار فرهنگ - بعد از تقاطع نیایش - پلاک 18 طبقه همکف,www.kharazmi.ir,info@kharazmi.ir,موسسه حسابرسی رازدار,18700000,03/31,کیانوش همتیان,10101750182
IRO3SSYZ0001,SSYZ1,Sepidar System,SSYZ,سپيدار سيستم آسيا,سپيدار,سپيدار سيستم آسيا,IRO3SSYZ0007,بازار دوم فرابورس,3,72,رايانه و فعاليت‌هاي وابسته به آن,7220,مشاوره و تهيه نرم افزار,29590002988360984,سپيدار,فعالیت اصلی شرکت سپیدار سیستم آسیا (سهامی عام) طبق ماده 2 اساسنامه عمدتاً در زمینه های تولید (تحلیل، طراحی و برنامه نویسی)، عرضه، فروش، اجاره، استقرار، راه اندازی، پشتیبانی و آموزش محصولات، خدمات نرم افزاری و خدمات مرتبط با آن؛ در بازار کسب و کارهای کوچک، اصناف، اشخاص و ایجاد بسترهای لازم برای عرضه آنها می باشد.,حميدرضا رنجبري,,021-81022000,021-81022999,خیابان ولیعصر بالاتر از میدان ونک خیابان عطار پلاک 20,خیابان ولیعصر بالاتر از میدان ونک خیابان عطار پلاک 20,www.sepidarsystem.com/,info@spidarsystem.com,موسسه حسابرسی هدف نوین نگر,700000,12/29,ندا آجورلو,10103914576
IRO1SPID0001,SPID1,Sepid Makian Co.,SPID,سپيد ماكيان,سپيد,سپيد ماكيان,IRO1SPID0008,بازار دوم بورس,5,01,زراعت و خدمات وابسته,141,پرورش طيور,45519261544951819,سپيد,فعالیت های این شرکت عبارتست از مدیریت کل چرخه تولید گوشت مرغ شامل مزارع مرغ مادر، کارخانه جوجه کشی، مزارع پرورش مرغ گوشتی، کارخانه دان، کشتارگاه صنعتی، کارخانه قطعه بندی، فرآوری گوشت و درنهایت توزیع محصول نهایی می باشد.,مجتبي رسولي,رشت، پیر بازار، کفترود، شرکت سپید ماکیان,01333712753,013337127532,بزرگراه یادگار امام شمال، بعد از فرحزاد، خروجی ایثارگران شمالی، بلوار ایثارگران (خیابان شهید فیروزی) بین کوچه الوند و الموت پلاک 2,بزرگراه یادگار امام شمال، بعد از فرحزاد، خروجی ایثارگران شمالی، بلوار ایثارگران (خیابان شهید فیروزی) بین کوچه الوند و الموت پلاک 2,http://sepidmakian.com/,,آرمان آروین پارس,1005000,12/29,عباس علیدوست,10720097761
IRO1HWEB0001,HWEB1,S*HiWeb,HWEB,داده گسترعصرنوين-هاي وب,هاي وب,داده گسترعصرنوين-هاي وب,IRO1HWEB0008,بازار اول (تابلوي فرعي) بورس,3,73,اطلاعات و ارتباطات,7310,خدمات ارزش افزوده,43362635835198978,هاي وب,ارائه خدمات انتقال داده‌ها و خدمات جانبی آن و فعالیت در زمینه فناوری اطلاعات، ارائه خدمات سخت‌افزاری و نرم‌افزاری و سایر خدمات کامپیوتری و مخابراتی و فعالیت‌های خدماتی و پشتیبانی پیمانکاری کلیه فعالیت‌های کامپیوتری و مخابراتی ...,سيدايمان ميري,,02129400,02129405060,تهران- پاسداران- خیابان گل نبی- خیابان ناطق نوری- نبش کوچه رفیقدوست- پلاک 39,تهران- پاسداران- خیابان گل نبی- خیابان ناطق نوری- نبش کوچه رفیقدوست- پلاک 39,HiWEB.ir,info@hiweb.ir,موسسه حسابرسی و خدمات مالی ارقام نگر آریا,8340000,12/29,سید علی اکبر موسوی امیری,10102541065
IRO3DCAZ0001,DCAZ1,Dona Catering,DCAZ,تهيه توزيع غذاي دنا آفرين فدك,گدنا,تهيه توزيع غذاي دنا آفرين فدك,IRO3DCAZ0000,بازار دوم فرابورس,3,55,هتل و رستوران,5520,فعاليت خدماتي مربوط به غذا و آشاميدني ها,10114441830266109,گدنا,آماده‌سازی،تهیه وطبخ غذا با بالاترین استانداردها و کیفیت جهت پذیرایی و سرویس دهی به خطوط مسافری و سازمان‌های تراز اول,امين شعباني,راه آهن تهران-شرکت دونا,,,تهران -آرژانتین-ساعی، خیابان الوند -کوچه کامبیز ،پلاک 2 طبقه منفی 1,راه آهن تهران - ساختمان شهید مشکی شرکت دونا,http://www.donacatering.ir,info@donacatering.ir,موسسه حسابرسی و خدمات مالی حافظ گام,300000,12/29,حجت نادری,14004707973
